qol,police,streets,water_sewer,yrs_lived,housing_exp,age,male,own,race,hhi,zip,long,lat
5,3,2,3,10,0,3,1,1,W,9,27705,78.994,35.973
4,4,2,4,34,0,5,0,0,W,2,27705,78.99,35.981
4,5,1,4,37,0,5,0,1,B,4,27707,78.91,35.968
3,4,9,1,50,9,5,1,1,W,9,27712,78.854,36.13
4,3,4,4,36,0,4,1,1,W,2,27701,,
5,3,3,4,64,9,4,0,1,O,9,27707,78.891,35.967
5,5,4,5,32,0,4,0,1,W,4,27707,78.983,35.97
5,3,9,3,46,0,4,0,1,W,3,27705,78.969,36.017
4,4,2,1,10,1,2,0,0,W,3,27705,78.973,36.026
5,3,1,2,15,0,5,1,1,W,9,27707,78.932,35.951
2,4,2,4,7,0,4,0,1,W,3,27713,78.913,35.92
3,3,1,1,60,0,4,0,1,W,3,27705,78.979,36.031
5,5,3,3,29,1,3,1,1,W,2,27707,78.949,35.96
5,3,2,3,40,9,4,1,1,B,9,27705,78.953,36.044
4,4,4,4,20,0,2,1,1,O,4,27707,78.912,35.985
3,3,1,4,10,1,2,1,0,W,3,27707,78.955,35.925
4,4,5,5,5,0,2,1,1,W,9,27705,78.954,36.048
4,4,4,4,20,0,2,0,1,W,9,27705,78.984,35.979
4,4,3,4,57,0,5,0,1,W,9,27705,78.921,36.041
3,3,1,3,18,0,1,0,0,B,3,27707,78.898,35.961
4,3,4,5,10,0,4,0,0,W,3,27705,78.979,36.011
4,4,5,4,17,0,4,0,1,B,2,27703,78.754,35.93
4,5,3,4,13,0,2,1,0,W,2,27704,78.811,36.017
4,5,3,2,25,0,3,0,1,W,4,27701,78.906,36.009
3,2,2,4,44,1,2,0,1,B,9,27703,78.832,36.003
3,2,1,3,44,1,2,1,1,B,4,27704,,
4,5,5,5,35,0,5,0,1,B,1,27707,78.899,35.956
2,3,4,4,60,0,4,1,0,O,2,27503,78.872,36.168
3,3,2,2,52,0,3,1,1,B,4,27703,78.88,35.946
4,4,5,4,20,1,2,1,0,B,3,27707,78.885,35.959
2,1,2,3,40,1,4,0,1,B,3,27707,78.896,35.969
4,5,3,4,20,0,3,1,1,B,4,27712,78.89,36.077
4,4,3,4,50,0,3,1,1,B,3,27712,78.966,36.079
2,4,3,1,45,0,3,1,1,W,2,27712,78.945,36.086
3,2,4,5,6,0,2,0,1,W,4,27701,78.914,35.994
5,9,3,5,20,0,4,0,1,W,2,27707,78.914,35.986
2,1,3,3,79,1,5,0,0,W,1,27701,,
4,3,2,3,60,0,5,0,1,B,9,27712,,
2,3,3,4,13,0,2,1,1,B,4,27703,78.859,35.946
4,3,2,2,16,0,3,0,1,B,9,27705,78.95,35.981
5,4,2,4,34,0,5,1,1,B,2,27712,78.923,36.113
4,3,3,3,55,0,5,1,1,W,4,27705,78.964,35.991
4,3,3,3,4,0,2,0,1,W,4,27701,78.893,36.004
4,2,2,4,2,1,1,1,0,W,4,27713,78.929,35.913
5,1,2,4,7,0,1,1,1,W,4,27713,78.929,35.934
4,9,1,9,14,0,1,1,0,W,3,27705,78.917,36.018
5,3,1,3,10,0,3,0,1,O,3,27713,78.888,35.941
3,3,4,4,15,0,2,0,0,B,3,27703,78.8,35.97
4,2,1,9,6,0,4,0,1,W,3,27712,78.863,36.13
4,4,4,4,80,0,5,1,0,W,3,27704,78.816,36.021
5,4,3,9,8,0,1,0,1,W,2,27701,78.896,36.007
2,2,2,3,21,1,1,0,0,B,2,27704,78.883,36.029
1,4,2,3,35,0,3,1,0,W,2,27712,78.934,36.135
2,3,2,3,51,0,4,0,1,B,1,27703,78.869,35.984
4,4,4,5,6,0,4,0,1,B,9,27713,78.946,35.881
3,3,2,2,20,1,2,0,1,W,1,27712,78.964,36.084
5,4,2,4,7,0,1,1,1,B,3,27713,78.922,35.924
3,5,2,4,1,0,5,1,1,W,3,27712,78.898,36.094
4,5,4,4,5,0,5,0,0,B,2,27704,78.817,36.014
3,2,1,3,40,1,3,0,1,B,9,27703,78.845,35.984
4,5,2,3,29,0,2,0,1,W,3,27712,78.89,36.088
3,9,4,1,43,1,2,1,0,B,2,27705,78.931,36.037
5,4,4,4,3,1,1,1,1,W,2,27713,78.936,35.924
4,3,4,4,13,0,9,1,1,W,9,27713,78.957,35.893
4,4,3,2,50,1,3,0,1,W,1,27572,78.826,36.234
5,4,2,4,15,0,1,0,1,W,4,27712,78.96,36.086
4,3,3,3,25,1,5,1,0,B,2,27707,78.906,35.975
3,9,3,5,13,9,1,0,0,O,1,27704,78.869,36.035
3,5,5,5,38,0,3,1,0,O,1,27704,78.881,36.032
5,9,1,4,5,0,1,1,1,W,3,27713,78.914,35.94
5,2,1,2,15,0,4,1,1,B,4,27707,78.98,35.971
1,1,1,2,3,9,3,0,1,W,9,27713,78.917,35.919
4,2,1,4,20,0,3,0,1,B,4,27713,78.918,35.886
2,4,3,4,18,1,5,0,0,B,2,27703,78.82,35.931
4,4,2,9,53,0,4,1,0,B,2,27713,78.928,35.895
3,3,3,9,30,1,3,1,1,W,2,27707,78.962,35.955
4,5,4,4,30,0,1,0,0,O,3,27713,78.907,35.887
4,3,1,3,6,1,3,0,1,W,3,27572,78.914,36.212
3,2,2,2,36,0,4,1,0,B,1,27704,78.882,36.063
4,4,2,3,45,0,5,0,0,B,2,27712,78.918,36.089
5,4,3,9,30,1,4,1,1,W,3,27712,78.961,36.087
3,9,4,4,37,0,5,1,1,B,2,27713,78.948,35.914
4,5,5,5,30,0,5,0,0,B,2,27572,78.865,36.208
4,5,3,5,0,0,1,0,1,B,4,27713,78.902,35.88
5,3,2,4,17,0,3,0,0,B,1,27713,78.909,35.937
4,4,3,4,25,0,3,1,0,B,3,27705,78.916,36.02
4,3,1,4,20,0,2,0,1,B,2,27703,78.816,35.98
4,4,4,5,35,0,3,1,0,W,2,27503,78.897,36.184
4,5,4,9,5,0,5,1,1,W,3,27703,78.785,35.933
2,1,1,1,23,0,4,1,1,W,4,27707,78.914,35.987
3,3,4,4,10,1,1,0,1,W,2,27712,78.949,36.095
3,4,3,2,1,0,1,1,1,W,4,27707,78.901,35.977
5,2,2,3,8,0,1,1,1,W,4,27707,78.985,35.934
3,3,3,3,50,0,5,1,0,B,2,27713,78.908,35.917
4,3,2,2,68,0,5,1,1,B,3,27704,78.904,36.067
5,4,3,3,40,0,3,0,1,B,2,27503,78.882,36.161
5,4,4,4,5,0,1,1,1,W,4,27713,78.934,35.934
3,3,2,2,31,0,1,1,1,W,4,27712,78.951,36.066
4,3,4,4,52,0,5,0,0,B,2,27705,78.976,36.04
3,9,3,4,47,0,3,1,0,B,2,27703,78.8,36.009
5,4,4,4,13,0,1,1,0,W,3,27713,78.937,35.933
3,4,3,3,63,0,4,0,1,B,2,27704,78.884,36.063
2,3,3,4,2,1,3,0,0,B,3,27703,78.846,35.894
3,5,5,4,30,0,3,1,1,W,3,27703,78.839,35.965
3,5,5,5,44,1,4,1,1,B,2,27712,78.863,36.075
4,3,4,4,54,0,4,0,1,W,2,27703,78.818,35.989
4,5,4,4,8,0,2,1,0,W,4,27701,78.895,36
5,5,3,4,15,0,1,0,1,B,3,27704,78.811,36.017
2,3,2,3,8,0,3,1,1,B,3,27713,78.888,35.942
5,4,3,3,16,0,2,1,1,B,3,27707,78.932,35.965
4,3,2,5,19,0,2,0,1,W,3,27707,78.966,35.928
4,5,4,5,7,0,5,0,1,W,9,27712,78.864,36.129
2,3,4,3,31,0,4,1,1,B,2,27704,78.909,36.029
5,3,3,4,16,0,3,0,1,B,3,27707,78.924,35.987
2,9,3,9,20,1,2,1,1,B,3,27704,78.817,36.012
5,3,2,5,1,1,1,1,0,O,3,27712,78.955,36.081
4,2,1,1,10,0,1,1,1,W,3,27713,78.911,35.886
4,4,4,3,28,0,3,1,1,B,3,27703,78.835,35.973
4,4,2,4,61,0,4,1,0,B,3,27704,78.899,36.074
2,4,4,4,3,0,1,0,1,W,4,27713,78.899,35.931
4,4,3,4,25,0,3,0,1,W,3,27713,78.934,35.937
5,2,1,4,21,0,2,1,1,W,3,27701,78.911,36.009
2,5,3,5,51,1,3,1,0,B,3,27703,78.806,35.964
4,2,2,4,32,0,4,0,1,B,4,27707,78.957,35.939
4,4,2,4,30,0,4,0,0,W,1,27705,78.988,35.972
3,4,4,3,23,0,4,0,1,B,1,27703,78.85,35.997
3,4,2,1,36,0,4,0,0,B,3,27704,78.872,36.028
4,4,1,3,15,0,1,0,0,B,3,27704,78.889,36.02
2,5,4,5,7,0,1,0,0,W,3,27704,78.903,36.024
3,4,4,4,34,0,3,0,1,W,1,27704,78.787,36.04
1,4,4,3,77,0,5,1,1,B,1,27712,78.904,36.077
5,4,5,4,14,0,2,1,1,W,4,27712,78.97,36.096
3,3,5,5,27,0,3,1,1,B,9,27704,78.812,36.016
3,2,2,4,7,1,3,1,0,B,1,27703,78.814,35.921
3,9,9,9,5,0,1,0,1,B,4,27703,78.818,35.973
3,4,4,4,15,0,1,0,1,W,3,27703,78.819,35.97
5,4,2,4,13,0,1,1,1,O,4,27703,,
3,4,3,4,17,1,3,0,1,B,2,27703,78.844,35.951
3,4,2,3,60,9,4,0,1,B,1,27701,78.893,35.989
5,4,4,3,2,0,2,1,1,B,4,27703,78.823,35.95
2,3,2,2,44,1,2,0,1,B,2,27703,78.863,35.974
3,5,5,3,6,0,2,0,0,W,1,27707,78.909,35.952
4,4,3,3,6,0,1,0,1,W,4,27703,78.793,35.97
3,3,2,3,33,0,1,0,0,B,1,27707,78.916,35.967
4,4,4,4,6,0,4,1,1,W,4,27704,78.912,36.041
5,1,2,3,11,0,1,1,1,B,4,27503,78.96,36.159
4,4,3,4,20,0,2,1,0,B,2,27703,78.844,35.97
3,3,3,3,15,0,2,0,1,B,4,27703,,
2,9,2,9,30,0,3,0,1,W,4,27503,78.947,36.169
2,4,4,9,4,1,4,1,1,B,4,27703,78.812,35.954
1,3,3,3,40,1,4,0,1,B,2,27503,78.956,36.16
4,3,3,1,26,0,3,0,1,W,9,27703,78.824,35.924
5,2,3,4,50,0,4,1,0,B,2,27704,78.907,36.043
2,4,4,5,9,0,2,0,1,W,3,27703,78.813,35.949
5,9,3,5,14,0,3,1,1,W,3,27704,78.812,36.036
1,9,2,4,46,0,3,1,0,W,1,27704,78.905,36.064
4,3,2,9,76,1,5,0,1,W,9,27572,78.915,36.227
3,4,2,2,7,0,4,1,0,W,3,27703,78.826,35.957
4,9,4,3,40,0,2,0,1,B,4,27703,78.833,35.96
5,3,3,9,20,0,3,0,1,O,4,27712,78.917,36.094
2,5,5,5,15,1,4,1,0,B,1,27704,78.922,36.05
5,4,1,4,10,0,5,0,1,W,4,27703,78.781,35.93
3,3,2,3,22,0,4,1,1,W,2,27701,78.898,36.007
4,3,4,4,20,0,5,0,1,W,1,27712,78.977,36.072
4,3,3,3,42,0,5,1,0,W,3,27707,78.958,35.93
4,3,3,2,32,0,3,0,1,W,2,27701,78.894,36.007
4,2,4,3,7,0,5,1,1,W,2,27503,78.878,36.148
5,3,3,4,50,0,5,1,0,W,3,27712,78.957,36.092
4,3,3,3,37,0,5,0,1,W,2,27712,78.902,36.102
4,1,2,3,35,0,2,1,1,W,2,27503,78.882,36.158
3,4,4,4,13,0,1,1,1,B,4,27713,78.921,35.933
4,3,1,3,70,1,5,1,0,B,1,27705,78.975,35.996
5,2,9,9,2,0,1,0,0,W,2,27701,78.907,35.998
4,3,3,4,61,9,5,0,1,W,9,27705,78.977,36.051
4,5,5,5,2,0,1,0,0,W,1,27701,78.894,35.997
2,3,4,4,61,1,4,1,1,B,1,27703,78.806,35.992
3,9,9,9,15,1,1,1,1,W,4,27713,78.913,35.922
2,5,2,3,19,0,3,1,1,W,3,27503,78.864,36.172
3,5,3,3,48,0,3,0,1,B,3,27713,78.92,35.917
2,4,4,4,30,0,4,1,0,W,2,27713,78.93,35.881
4,2,1,4,35,0,3,0,0,W,2,27713,78.927,35.879
5,5,5,5,2,0,2,1,0,W,3,27701,78.89,36.001
1,1,2,9,36,1,9,0,1,W,9,27703,,
2,5,2,2,8,1,4,1,0,W,1,27703,78.824,35.969
2,5,4,4,5,0,1,1,1,W,3,27713,78.91,35.915
5,4,4,5,3,1,1,1,0,W,2,27701,78.898,36.004
2,4,3,4,37,0,3,0,0,B,1,27704,78.87,36.033
3,9,2,9,58,0,4,1,0,B,3,27712,78.959,36.093
5,3,1,4,10,0,1,1,0,W,3,27713,78.918,35.897
2,9,4,9,4,1,1,1,0,O,3,27705,78.949,36.009
4,5,9,5,3,0,1,0,1,W,3,27701,78.888,36.002
3,4,2,3,9,0,2,0,1,W,3,27701,78.887,36
4,4,1,4,3,0,4,1,1,B,4,27713,78.922,35.918
1,3,3,2,52,0,4,0,1,B,2,27703,78.799,35.972
3,4,4,4,64,0,4,1,0,B,1,27701,78.881,36.012
4,5,4,5,4,0,1,1,1,W,4,27703,78.802,35.962
3,4,4,5,55,0,5,0,1,W,1,27712,78.942,36.077
4,1,4,4,4,1,4,0,0,B,2,27704,78.862,36.052
4,2,2,2,12,1,1,1,1,W,2,27705,78.915,36.014
4,3,2,4,24,1,3,0,1,B,4,27503,78.859,36.153
5,4,3,9,4,0,1,0,0,W,2,27707,78.963,35.962
4,5,1,4,8,9,1,0,1,W,3,27701,78.901,36.017
5,2,1,4,14,0,4,0,0,O,2,27703,78.881,35.937
4,3,3,4,20,0,2,0,0,B,3,27703,78.804,36.009
3,4,4,4,22,1,9,0,1,B,1,27701,78.89,35.998
4,4,1,2,3,0,1,1,0,W,4,27713,78.903,35.905
4,3,4,4,32,0,4,0,1,W,4,27701,78.893,36.01
2,2,2,4,10,1,1,1,1,O,9,27704,78.906,36.026
4,3,1,2,16,0,3,1,0,W,2,27712,78.89,36.081
4,5,3,3,20,0,4,1,0,W,3,27707,78.959,35.951
4,3,3,3,25,0,3,1,1,W,4,27705,78.963,36.018
4,4,3,3,47,0,4,0,1,W,4,27705,78.977,36.05
5,2,2,2,40,0,5,0,1,W,2,27712,78.977,36.073
4,4,3,9,6,9,4,1,0,O,1,27705,78.971,36.025
4,5,1,4,50,0,5,1,1,W,2,27712,78.957,36.064
5,3,4,4,30,1,2,0,0,W,3,27712,78.959,36.057
5,3,2,4,40,0,5,0,1,W,3,27707,78.961,35.944
1,4,4,3,13,9,2,1,1,B,4,27712,78.871,36.108
3,3,4,4,30,1,2,0,0,B,1,27705,78.922,36.045
4,3,3,3,13,0,4,0,1,W,9,27705,78.961,35.978
2,4,2,5,51,0,3,0,1,B,3,27703,,
4,1,2,9,30,0,4,0,1,W,2,27705,78.948,36.061
1,5,5,5,40,1,3,0,0,B,1,27707,78.886,35.966
4,4,4,2,65,0,5,1,0,W,1,27703,78.817,35.975
4,3,1,3,13,0,4,1,1,W,3,27705,78.982,35.985
4,3,3,3,29,0,4,1,0,W,1,27705,78.935,36.016
5,9,4,4,15,0,4,1,0,W,3,27705,78.946,36.054
4,4,2,4,15,0,2,1,1,W,4,27707,78.935,35.951
3,3,2,4,27,9,5,1,0,W,3,27705,78.939,36.05
5,9,4,4,35,0,3,0,1,W,3,27705,78.946,35.977
4,9,1,9,31,0,3,0,1,W,3,27707,78.95,35.939
3,4,2,2,20,1,2,1,0,B,2,27701,78.905,36.018
4,3,2,3,15,0,4,0,1,W,2,27712,78.935,36.081
2,9,2,3,6,9,4,0,0,B,2,27704,,
1,4,3,4,76,9,5,0,0,W,1,27704,78.81,36.027
3,9,4,4,25,1,3,1,0,W,1,27707,78.942,35.962
3,4,2,4,52,9,5,0,1,B,9,27707,78.94,35.961
3,4,4,2,20,1,2,1,0,B,3,27703,78.804,36.01
4,4,3,4,30,0,2,0,1,W,1,27704,78.854,36.009
3,4,4,4,5,0,3,0,1,W,4,27703,78.815,35.92
3,1,1,1,5,1,5,1,1,B,1,27704,78.816,36.019
4,4,4,4,19,1,2,1,0,B,1,27703,,
4,5,1,1,70,9,5,1,1,B,2,27703,78.753,35.934
4,3,3,9,20,0,2,0,0,B,3,27701,78.877,35.998
5,1,1,1,10,0,2,1,1,O,4,27712,78.976,36.076
3,5,4,5,38,1,2,0,1,B,2,27704,,
3,3,4,3,36,1,2,1,1,B,9,27701,,
4,4,3,4,12,1,1,0,0,W,2,27704,,
4,9,3,3,60,1,4,0,1,W,1,27572,78.902,36.232
2,3,2,4,43,9,3,1,1,W,9,27703,78.805,35.97
4,4,1,3,7,0,3,0,1,W,2,27707,78.95,35.932
4,4,4,5,23,0,2,1,1,W,9,27705,78.971,35.979
4,5,1,3,47,0,5,1,0,W,3,27707,78.933,35.985
4,4,1,3,36,0,4,1,1,B,4,27707,78.969,35.944
2,4,3,4,22,1,2,0,1,W,2,27712,78.962,36.046
3,2,2,4,53,0,5,0,0,W,2,27707,78.953,35.927
4,9,3,2,50,0,5,0,0,W,2,27707,78.942,35.951
4,1,2,3,63,9,4,1,0,W,9,27707,78.897,35.958
5,1,1,1,23,0,5,0,1,W,3,27705,78.941,36.031
4,3,1,4,9,0,2,0,1,O,4,27707,78.988,35.941
3,4,3,5,71,1,5,1,0,B,1,27705,78.917,36.015
4,9,3,3,20,0,2,0,1,W,4,27701,78.903,36.017
4,2,1,1,6,0,5,0,1,W,1,27703,78.784,35.938
2,3,1,4,14,1,5,1,0,W,3,27704,,
3,3,2,4,56,9,5,1,0,W,4,27705,78.95,35.975
4,4,4,2,39,0,2,0,1,B,4,27703,,
3,3,2,4,15,1,1,0,0,B,1,27705,78.977,36.037
3,5,5,5,35,0,3,1,1,W,2,27705,78.938,35.977
5,4,2,4,15,0,3,1,1,W,9,27705,78.97,36.039
3,3,3,3,5,0,2,0,0,O,9,27705,78.963,35.975
5,4,3,3,17,1,2,0,0,W,1,27703,78.854,35.966
4,4,2,4,20,1,3,0,0,B,1,27703,,
4,5,3,3,7,0,1,1,1,W,4,27701,78.893,36.007
4,4,1,2,43,9,2,1,1,B,3,27712,78.919,36.094
5,4,2,4,23,0,3,0,0,O,2,27707,78.927,35.97
4,4,2,4,36,0,2,0,1,W,3,27712,78.885,36.088
3,3,4,4,43,1,3,0,0,B,1,27707,78.909,35.969
4,4,2,4,17,0,2,1,1,W,9,27707,78.983,35.97
4,3,4,4,23,0,2,0,1,W,9,27707,78.97,35.943
4,4,2,4,26,9,5,0,0,B,1,27701,78.893,35.999
3,4,4,4,64,0,4,0,1,W,2,27712,78.87,36.104
4,2,1,3,6,0,1,1,0,W,2,27704,78.893,36.028
1,3,3,2,17,9,4,0,1,B,1,27713,78.908,35.892
4,4,9,2,0,0,1,0,0,B,2,27713,78.943,35.925
4,4,2,4,2,1,1,0,1,B,3,27703,78.848,35.981
4,3,4,4,20,0,2,1,1,W,2,27712,78.978,36.078
4,4,4,4,33,0,4,0,1,O,4,27713,78.921,35.922
4,4,3,4,72,1,5,1,0,B,1,27572,78.861,36.233
3,4,4,4,10,0,5,1,1,W,3,27713,78.924,35.89
4,4,2,3,20,0,4,1,1,B,1,27701,78.89,35.999
2,4,4,4,20,0,3,0,0,B,3,27703,78.805,35.995
5,5,4,5,14,0,2,1,1,B,4,27713,78.923,35.893
2,2,1,3,16,1,2,0,1,O,3,27704,78.915,36.063
4,2,3,4,23,0,2,0,0,B,3,27712,78.894,36.077
1,4,4,4,40,9,5,0,0,B,1,27707,78.925,35.968
4,5,2,1,41,0,3,0,1,W,2,27703,78.811,35.988
4,4,4,4,13,0,4,1,1,W,9,27707,78.969,35.944
2,1,1,1,6,0,1,1,0,W,2,27701,78.886,36.01
4,3,3,5,17,0,5,1,1,B,1,27701,78.897,35.979
2,5,1,5,30,0,5,1,1,B,1,27572,78.875,36.229
4,5,4,5,10,0,1,1,1,B,9,27707,78.995,35.941
4,5,4,4,60,0,4,0,0,B,1,27701,78.878,35.999
4,2,1,2,40,0,5,1,0,W,2,27503,78.868,36.199
3,4,3,4,24,1,3,1,0,B,2,27707,78.914,35.954
4,5,3,5,6,0,1,0,1,B,2,27712,78.934,36.082
4,3,1,4,53,1,3,0,1,B,2,27707,78.919,35.955
4,9,1,3,22,1,5,0,0,B,1,27712,78.881,36.089
3,3,2,3,24,1,4,0,0,B,1,27707,78.954,35.926
5,3,2,4,10,0,2,1,1,W,4,27705,78.969,36.024
4,1,1,1,10,0,1,0,1,W,4,27701,78.907,36.011
1,3,5,4,16,0,2,0,0,B,2,27703,78.807,35.995
4,4,3,4,7,0,1,1,1,W,4,27713,78.943,35.931
4,4,1,3,40,0,3,0,0,B,2,27703,78.816,35.988
2,9,5,4,50,1,9,1,1,O,9,27703,78.761,35.956
3,4,4,9,42,1,2,0,1,B,2,27704,78.881,36.024
4,9,2,4,17,0,2,0,0,O,9,27703,78.794,35.971
5,1,2,4,11,0,2,0,1,B,4,27707,78.918,35.983
4,4,1,4,53,1,3,1,1,B,3,27703,78.85,35.946
4,5,5,5,9,0,1,0,0,W,3,27713,78.925,35.88
4,2,2,4,14,0,1,1,1,B,4,27705,78.918,36.01
4,4,2,4,30,0,4,1,1,W,3,27701,78.909,36.013
4,4,4,5,42,0,2,1,1,W,4,27704,78.809,36.027
3,1,1,1,7,1,1,0,0,B,2,27707,78.966,35.953
2,3,2,3,60,0,4,1,1,B,9,27704,78.869,36.033
4,5,4,5,50,0,4,1,1,B,1,27704,78.885,36.023
3,3,2,5,6,9,1,0,0,B,2,27503,78.85,36.177
4,4,1,3,29,0,2,0,1,B,3,27703,78.825,35.986
4,3,3,1,14,0,2,0,1,B,4,27705,78.932,36.034
3,9,2,9,37,0,3,1,1,B,9,27707,78.942,35.948
4,4,4,4,18,0,2,1,1,W,3,27707,78.918,35.974
4,4,1,9,16,0,2,0,1,B,4,27703,78.811,35.955
4,2,3,4,26,0,2,1,1,B,4,27703,78.881,35.944
3,2,3,5,8,1,2,1,0,B,1,27703,78.849,35.984
4,4,2,3,25,0,3,0,1,W,4,27705,78.924,36.013
4,4,4,4,20,0,2,0,0,B,3,27713,78.926,35.918
2,4,3,4,18,1,3,1,0,B,1,27703,78.852,35.988
4,4,5,4,10,0,2,0,1,B,9,27703,78.819,35.992
5,4,3,4,41,9,4,0,1,W,9,27712,78.922,36.114
4,1,1,1,31,0,3,0,1,W,4,27707,78.969,35.945
4,3,3,5,31,0,4,0,0,W,1,27705,78.965,35.983
4,4,2,4,7,0,3,0,1,W,2,27703,78.797,35.972
4,2,1,4,50,0,3,0,0,B,1,27703,78.86,35.996
3,1,1,2,21,0,4,1,1,W,2,27712,78.962,36.046
3,9,2,4,33,1,1,0,0,B,4,27713,78.915,35.917
4,4,2,4,15,1,4,1,0,W,1,27704,78.907,36.058
3,3,1,4,12,0,5,0,1,B,2,27703,78.806,35.984
4,2,3,4,3,0,2,1,0,B,2,27572,78.897,36.226
5,2,4,4,14,1,3,1,1,W,9,27707,78.915,35.978
4,4,3,5,27,0,1,1,0,W,1,27712,78.931,36.08
3,3,1,3,13,0,4,0,0,W,2,27712,78.959,36.056
1,1,5,4,64,9,4,0,1,W,9,27703,78.801,36.002
1,4,3,4,17,0,4,1,1,W,3,27704,78.876,36.063
4,9,4,3,11,0,2,1,1,W,4,27705,78.944,36.038
4,3,2,4,40,0,5,1,1,B,4,27701,78.91,36.012
5,2,2,4,49,0,4,1,1,B,4,27707,78.925,35.971
4,4,4,3,8,1,2,0,1,W,3,27707,78.936,35.952
4,4,5,5,56,0,5,1,1,W,4,27705,78.965,35.987
4,4,3,4,78,0,5,0,1,B,2,27705,78.968,36.016
4,4,4,3,13,1,1,0,1,W,1,27703,78.879,35.991
3,9,3,4,17,0,5,0,1,B,4,27701,,
4,3,2,4,60,1,4,0,1,W,1,27707,78.945,35.936
5,4,4,4,29,0,3,1,1,W,9,27704,,
4,5,4,4,9,0,2,1,1,B,4,27703,78.831,35.95
3,3,2,4,12,0,3,0,1,B,4,27707,78.94,35.961
